id,clusterId,Date,connectionTime,disconnectTime,Time Diff,Total Hours,donechargingTime,kWhDelivered,sessionId,siteId,spaceID,stationID,timezone,userID,,userInput
5bc91212f9af8b0d98ff68d1,39,"Thu, 26 Apr 2018", 15:27:50 GMT,24:14:34 GMT,08:46:44,8.78,"Thu, 26 Apr 2018 16:32:25 GMT",6.14,2_39_78_360_2018-04-26 15:27:50.360165,2,CA-322,2-39-78-360,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d2,39,"Thu, 26 Apr 2018", 15:28:15 GMT, 19:41:54 GMT,04:13:39,4.23,"Thu, 26 Apr 2018 19:00:07 GMT",6.087,2_39_138_29_2018-04-26 15:28:14.862980,2,CA-304,2-39-138-29,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d3,39,"Thu, 26 Apr 2018", 15:45:26 GMT, 24:30:02 GMT,08:44:36,8.74,"Thu, 26 Apr 2018 17:48:13 GMT",6.298,2_39_78_365_2018-04-26 15:45:25.544690,2,CA-321,2-39-78-365,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d4,39,"Thu, 26 Apr 2018", 15:46:05 GMT, 24:06:32 GMT,08:20:27,8.34,"Thu, 26 Apr 2018 16:55:21 GMT",4.182,2_39_79_377_2018-04-26 15:46:05.101599,2,CA-325,2-39-79-377,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d5,39,"Thu, 26 Apr 2018", 15:46:33 GMT, 24:41:11 GMT,08:54:38,8.91,"Thu, 26 Apr 2018 17:17:18 GMT",4.846,2_39_91_437_2018-04-26 15:46:32.723647,2,CA-317,2-39-91-437,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d6,39,"Thu, 26 Apr 2018", 15:47:39 GMT,21:46:12 GMT,05:58:33,5.98,"Thu, 26 Apr 2018 16:40:35 GMT",2.65,2_39_79_383_2018-04-26 15:47:39.378964,2,CA-492,2-39-79-383,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d7,39,"Thu, 26 Apr 2018", 15:55:18 GMT,19:27:14 GMT,03:31:56,3.53,"Thu, 26 Apr 2018 17:05:02 GMT",2.997,2_39_90_26_2018-04-26 15:55:17.797592,2,CA-316,2-39-90-26,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d8,39,"Thu, 26 Apr 2018", 15:56:04 GMT,18:30:00 GMT,02:33:56,2.57,"Thu, 26 Apr 2018 16:55:02 GMT",2.68,2_39_78_367_2018-04-26 15:56:03.627143,2,CA-494,2-39-78-367,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68d9,39,"Thu, 26 Apr 2018", 15:57:16 GMT, 24:33:13 GMT,08:35:57,8.6,"Thu, 26 Apr 2018 17:59:37 GMT",3.54,2_39_126_20_2018-04-26 15:57:15.957331,2,CA-310,2-39-126-20,America/Los_Angeles,,,
5bc91212f9af8b0d98ff68da,39,"Thu, 26 Apr 2018", 15:59:53 GMT, 23:47:33 GMT,07:47:40,7.79,"Thu, 26 Apr 2018 16:44:39 GMT",1.916,2_39_89_25_2018-04-26 15:59:52.547723,2,CA-315,2-39-89-25,America/Los_Angeles,,,
